Date,Description,Amount
2026-06-12,DIRECT DEP EMPLOYER PAYROLL,3232.18
2026-06-12,DOORDASH*ORDER,-43.93
2026-06-13,APPLE.COM/BILL ICLOUD+,-2.99
2026-06-14,SPOTIFY USA,-10.99
2026-06-15,TARGET,-57.59
2026-06-15,AMAZON.COM*MARKETPLACE,-68.20
2026-06-16,ADOBE CREATIVE CLOUD,-54.99
2026-06-16,SHELL OIL,-45.90
2026-06-16,DOORDASH*ORDER,-40.23
2026-06-22,NYTIMES*DIGITAL SUBSCRIPTION,-17.00
2026-06-23,AUDIBLE*AMZN.COM/BILL,-14.95
2026-06-23,DOORDASH*ORDER,-38.74
2026-06-23,CVS PHARMACY,-15.77
2026-06-26,DIRECT DEP EMPLOYER PAYROLL,3230.50
2026-06-29,STARBUCKS,-5.74
2026-06-29,AMAZON.COM*MARKETPLACE,-37.31
2026-07-01,PELOTON APP MEMBERSHIP,-12.99
2026-07-02,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-07-02,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-07-02,TRADER JOE'S,-40.87
2026-07-02,WHOLE FOODS MARKET,-18.89
2026-07-03,STARBUCKS,-9.56
2026-07-05,NETFLIX.COM 866-579-7172 CA,-15.99
2026-07-05,VERIZON WIRELESS PAYMENT,-85.00
2026-07-07,DISNEY PLUS,-13.99
2026-07-07,DOORDASH*ORDER,-52.22
2026-07-09,AMAZON.COM*MARKETPLACE,-53.02
2026-07-09,DOORDASH*ORDER,-33.55
2026-07-10,PG&E ELECTRIC UTILITY,-126.74
2026-07-10,DIRECT DEP EMPLOYER PAYROLL,3190.12
2026-07-11,SHELL OIL,-44.68
2026-07-13,AMAZON.COM*MARKETPLACE,-95.75
2026-07-13,BEST BUY,-215.31
2026-07-14,SPOTIFY USA,-10.99
2026-07-15,APPLE.COM/BILL ICLOUD+,-2.99
2026-07-15,CVS PHARMACY,-37.59
2026-07-16,ADOBE CREATIVE CLOUD,-54.99
2026-07-16,WHOLE FOODS MARKET,-44.97
2026-07-19,NYTIMES*DIGITAL SUBSCRIPTION,-17.00
2026-07-20,AUDIBLE*AMZN.COM/BILL,-14.95
2026-07-21,TRADER JOE'S,-12.56
2026-07-24,DIRECT DEP EMPLOYER PAYROLL,3156.62
2026-07-25,UBER TRIP,-26.65
2026-07-26,HOME DEPOT,-132.70
2026-07-27,LOCAL BISTRO RESTAURANT,-29.17
2026-07-31,DOORDASH*ORDER,-54.98
2026-07-31,CHIPOTLE MEXICAN GRILL,-19.27
2026-08-01,PELOTON APP MEMBERSHIP,-12.99
2026-08-01,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-08-03,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-08-03,TARGET,-45.82
2026-08-04,SHELL OIL,-41.94
2026-08-04,CHIPOTLE MEXICAN GRILL,-15.30
2026-08-05,NETFLIX.COM 866-579-7172 CA,-15.99
2026-08-07,DIRECT DEP EMPLOYER PAYROLL,3241.31
2026-08-08,DISNEY PLUS,-13.99
2026-08-09,VERIZON WIRELESS PAYMENT,-85.00
2026-08-09,PG&E ELECTRIC UTILITY,-127.36
2026-08-10,CVS PHARMACY,-11.86
2026-08-11,SPOTIFY USA,-10.99
2026-08-11,LOCAL BISTRO RESTAURANT,-54.70
2026-08-13,APPLE.COM/BILL ICLOUD+,-2.99
2026-08-13,CHEVRON GAS STATION,-55.28
